adulterant,product,category,instances
sodium methyl p-hydroxybenzoate,pickled vegetable,fruits and vegetables,1
sodium metabisulphite,coconut milk,"nuts, nut products and seeds",1
sodium hydroxide,soya drink,non-alcoholic beverages,1
sorbic acid,and insufficient labelling of grenadine,non-alcoholic beverages,1
sorbic acid,black prunes,fruits and vegetables,1
sodium hydroxide,beer in bottles,alcoholic beverages,1
sorbic acid,mayonnaise,"soups, broths, sauces and condiments",1
soya,sausage,meat and meat products (other than poultry),1
sorbitan tristearate,frozen surimi preparations (sparidae spp),fish and fish products,1
sorbic acid,sweet quinces,fruits and vegetables,1
sorbic acid,sun dried salted tomato halves,fruits and vegetables,1
sorbic acid,strawberry drinking yoghurt,milk and milk products,1
sorbic acid,sour white cabbage,fruits and vegetables,1
sorbic acid,smoky bbq sauce,"soups, broths, sauces and condiments",1
sorbic acid,sauce for meat,"soups, broths, sauces and condiments",1
sorbic acid,pasta sheets,cereals and bakery products,1
sorbic acid,non-alcoholic wine,non-alcoholic beverages,1
sorbic acid,mosfilo jam,confectionery,1
sorbic acid,milk dessert,milk and milk products,1
sorbic acid,full yoghurt with pear for infants,"dietetic foods, food supplements, fortified foods",1
sorbic acid,carbonated soft drink,non-alcoholic beverages,1
sorbic acid,fruit juice (made with pomegranate),non-alcoholic beverages,1
sorbic acid,fresh headless shell-on shrimps macrobrachium rosenbergii),crustaceans and products thereof,1
sorbic acid,energy drink,non-alcoholic beverages,1
sorbic acid,"dried, smoked and salty squid rings",cephalopods and products thereof,1
sorbic acid,dried prunes packaged in france,fruits and vegetables,1
sorbic acid,dried pitted prunes,"nuts, nut products and seeds",1
sorbic acid,dried pitted plums,fruits and vegetables,1
sorbic acid,dried moldavian pitted prunes,fruits and vegetables,1
sorbic acid,dried black prunes without kernels,fruits and vegetables,1
sorbic acid,dehydrated carrot,fruits and vegetables,1
sorbic acid,cocoa topping,"cocoa and cocoa preparations, coffee and tea",1
sorbic acid,chilled threads dough,cereals and bakery products,1
sodium hydroxide,jaegermeister,alcoholic beverages,1
sodium erythorbate,wasabi powder,herbs and spices,1
salicylic acid,chewing gum,confectionery,1
sibutramine,green tea,"cocoa and cocoa preparations, coffee and tea",1
sildenafil,herbal supplement,"dietetic foods, food supplements, fortified foods",1
sildenafil,food supplement with plant extracts,"dietetic foods, food supplements, fortified foods",1
sildenafil,coffee drink,"dietetic foods, food supplements, fortified foods",1
sildenafil,coffee,"dietetic foods, food supplements, fortified foods",1
sildenafil,chewing gum,confectionery,1
sibutramine suspected,slimming product,"dietetic foods, food supplements, fortified foods",1
sibutramine,weight loss coffee,"dietetic foods, food supplements, fortified foods",1
sibutramine,slimming gel in capsules,"dietetic foods, food supplements, fortified foods",1
sibutramine,slimming drug presented as food supplement,"dietetic foods, food supplements, fortified foods",1
sibutramine,slimming coffe,"cocoa and cocoa preparations, coffee and tea",1
sibutramine,product presented as food supplement,"dietetic foods, food supplements, fortified foods",1
sibutramine,instant coffee,"dietetic foods, food supplements, fortified foods",1
sibutramine,food supplement with green coffee,"dietetic foods, food supplements, fortified foods",1
sildenafil,radix notoginseng extract capsules,"dietetic foods, food supplements, fortified foods",1
sibutramine,diet pills,"dietetic foods, food supplements, fortified foods",1
senna alexandrina mill.,herbal infusion,"cocoa and cocoa preparations, coffee and tea",1
semicarbazide,migration of semicarbazide (sem) (4.66 mg/kg - ppm),food contact materials,1
semicarbazide,migration of semicarbazide (sem) (34.2 mg/kg - ppm),food contact materials,1
semicarbazide,migration of semicarbazide (sem) (0.07; 0.04 mg/kg - ppm),food contact materials,1
semicarbazide,honey,honey and royal jelly,1
semicarbazide,ginger pickle,herbs and spices,1
semicarbazide,gaskets of jars containing ginger garlic paste,food contact materials,1
semicarbazide,food supplement,"dietetic foods, food supplements, fortified foods",1
semicarbazide,baby food,"dietetic foods, food supplements, fortified foods",1
salted boneless skinless chicken breast contaminated with diesel oil during transport,salted boneless skinless chicken breast contaminated with diesel oil during transport,poultry meat and poultry meat products,1
salt,sliced vacuum packed scottish smoked salmon,fish and fish products,1
sildenafil,instant coffee,"dietetic foods, food supplements, fortified foods",1
sildenafil thiono analogue,power caps,"dietetic foods, food supplements, fortified foods",1
sodium erythorbate,rice noodle with satay sauce,prepared dishes and snacks,1
sodium benzoate,canned orange soda,non-alcoholic beverages,1
sodium erythorbate,frozen sliced octopus,cephalopods and products thereof,1
sodium carbonates,frozen cuttlefish and squid,cephalopods and products thereof,1
sodium benzoate,white cola,non-alcoholic beverages,1
sodium benzoate,raspberry flavoured drink,non-alcoholic beverages,1
sodium benzoate,preserved vegetables,fruits and vegetables,1
sodium benzoate,preserved cabbage,fruits and vegetables,1
sodium benzoate,non-alcoholic flavoured drink containing juice,non-alcoholic beverages,1
sodium benzoate,mango juice drink,non-alcoholic beverages,1
sodium benzoate,mango flavour fruit yoghurt,ices and desserts,1
sodium benzoate,flavoured soft drink,non-alcoholic beverages,1
sodium benzoate,corn syrup,confectionery,1
sodium benzoate,carbonated soft drink,non-alcoholic beverages,1
sodium benzoate,brownies,confectionery,1
"sildenafil thiono analogues, tadalafil",various food supplement,"dietetic foods, food supplements, fortified foods",1
sodium benzoate,boiled and pailed eggs,eggs and egg products,1
sodium benzoate,barbecue sauce,"soups, broths, sauces and condiments",1
sodium benzoate,and incorrect labelling on pomegranate concentrate,non-alcoholic beverages,1
sodium azide,wine,wine,1
sodium aluminium phosphate,frozen headless breaded raw shrimps,crustaceans and products thereof,1
sodium aluminium phosphate,frozen breaded raw shrimps,crustaceans and products thereof,1
sodium,beer in barrels (fÌÈts),alcoholic beverages,1
soda lye,orange juice,non-alcoholic beverages,1
smoked hams,smoked hams,meat and meat products (other than poultry),1
smoke flavouring,unauthorised smoke flavouring,food additives and flavourings,1
smell,uht skimmed milk,milk and milk products,1
"sildenafil, sildenafil thiono analogue",food supplement,"dietetic foods, food supplements, fortified foods",1
stanozolol,food supplement,"dietetic foods, food supplements, fortified foods",1
strontium,food supplement,"dietetic foods, food supplements, fortified foods",1
strychnine,food supplement,"dietetic foods, food supplements, fortified foods",1
sulphite,cooked velvet crabs (liocarcinus puber),crustaceans and products thereof,1
sulphite,dehydrated garlic,herbs and spices,1
sulphite,dehydrated garlic,fruits and vegetables,1
sulphite,dehydrated diced coconut,fruits and vegetables,1
sulphite,dehydrated coconut dices,fruits and vegetables,1
sulphite,dehydrated coconut and strawberries,fruits and vegetables,1
sulphite,dehydrated coconut,fruits and vegetables,1
sulphite,dehydrated carrot flakes,fruits and vegetables,1
sulphite,deep water rose shrimps (parapeneaus longirostris),crustaceans and products thereof,1
sulphite,crab-apples,fruits and vegetables,1
sulphite,crab products,crustaceans and products thereof,1
sulphite,crab apple,fruits and vegetables,1
sulphite,cooked whiteleg shrimps (penaeus vannamei),crustaceans and products thereof,1
sulphite,cooked shrimp ( penaeus vannamei),crustaceans and products thereof,1
sulphite,dehydrated garlic powder and granules,fruits and vegetables,1
sulphite,cooked prawns (paeneus vannamei),crustaceans and products thereof,1
sulphite,cooked peeled black tiger shrimps,crustaceans and products thereof,1
sulphite,cooked loose prawns,crustaceans and products thereof,1
sulphite,cooked lobsters (palinurus argus),crustaceans and products thereof,1
sulphite,cooked fresh shrimps,crustaceans and products thereof,1
sulphite,coconut preserve,confectionery,1
sulphite,coconut milk,"nuts, nut products and seeds",1
sulphite,coconut juice with pulp,non-alcoholic beverages,1
sulphite,coconut juice,non-alcoholic beverages,1
sulphite,coconut jam,confectionery,1
sulphite,coconut cream,"nuts, nut products and seeds",1
sulphite,citron peels,fruits and vegetables,1
sulphite,dehydrated garlic powder,fruits and vegetables,1
sulphite,dehydrated pear halves,fruits and vegetables,1
styrene,frozen strawberry puree,fruits and vegetables,1
sulphite,dried candied pears,fruits and vegetables,1
sulphite,dried kiwi slices,confectionery,1
sulphite,dried jujubes,fruits and vegetables,1
sulphite,dried goji berries,fruits and vegetables,1
sulphite,"dried ginger, pineapple and melon",fruits and vegetables,1
sulphite,dried garlic granules,"dietetic foods, food supplements, fortified foods",1
sulphite,dried garlic,fruits and vegetables,1
sulphite,dried fruits mix,fruits and vegetables,1
sulphite,dried fruit mix,fruits and vegetables,1
sulphite,dried cranberries,fruits and vegetables,1
sulphite,dried coconut halves,fruits and vegetables,1
sulphite,dried coconut,"nuts, nut products and seeds",1
sulphite,dried candied pineapple,fruits and vegetables,1
sulphite,dried candied pear halves,fruits and vegetables,1
sulphite,dehydrated pear slice,fruits and vegetables,1
sulphite,dried candied fruit,fruits and vegetables,1
sulphite,dried boxthorn (lycium barbarum),fruits and vegetables,1
sulphite,"dried banana, pineapple, mango",fruits and vegetables,1
sulphite,dried apricot with raw material,fruits and vegetables,1
sulphite,dried apricot stuffed with hazelnuts,fruits and vegetables,1
sulphite,dried apricot (strips),fruits and vegetables,1
sulphite,dried apple bites,fruits and vegetables,1
sulphite,dried and pitted apricot,fruits and vegetables,1
sulphite,dried and lightly sweetened pineapple,fruits and vegetables,1
sulphite,desiccated coconut,"nuts, nut products and seeds",1
sulphite,desiccated coconut,fruits and vegetables,1
sulphite,dehydrated strawberry (whole) - sugar added,fruits and vegetables,1
sulphite,cinnamon sticks,herbs and spices,1
sulphite,cinnamon and cinnamon tree flowers (cinnamomum verum),herbs and spices,1
sulphite,cider,alcoholic beverages,1
sulphite,black raisins,fruits and vegetables,1
sulphite,"candied, stoneless cherries",confectionery,1
sulphite,candied pears with raw material,fruits and vegetables,1
sulphite,candied pear halves,fruits and vegetables,1
sulphite,candied peach halves,fruits and vegetables,1
sulphite,candied melon (cantaloupe) slices,fruits and vegetables,1
sulphite,candied kiwi,fruits and vegetables,1
sulphite,candied ginger,confectionery,1
sulphite,candied fruit,fruits and vegetables,1
sulphite,candied dried cherries,fruits and vegetables,1
sulphite,cabbage (sour pickled mustard greens),fruits and vegetables,1
sulphite,bordeau wine,alcoholic beverages,1
sulphite,blanched frozen pink shrimps (metapenaeus affinis),crustaceans and products thereof,1
sulphite,biscuits,cereals and bakery products,1
sulphite,chopped horseradish with citric acid,"soups, broths, sauces and condiments",1
sulphite,bell peppers stuffed with cabbage,fruits and vegetables,1
sulphite,beer,alcoholic beverages,1
sulphite,baked yellow lentils,prepared dishes and snacks,1
sulphite,asparagus,fruits and vegetables,1
sulphite,apple drink,non-alcoholic beverages,1
sulphite,apple cider,alcoholic beverages,1
sulphite,"and insufficient labelling (full name of e 223 is required because it is an allergen) of ""petit beurre"" biscuits",cereals and bakery products,1
sulphite,alcoholic strawberry flavour drink,alcoholic beverages,1
sulphite,alcoholic beverages,alcoholic beverages,1
sulphite,afghan dry plum,fruits and vegetables,1
sucralose,almond biscuits,cereals and bakery products,1
styrene,ground cassia,herbs and spices,1
sulphite,canned green mangoes in vinegar,fruits and vegetables,1
sulphite,canned peas with coconut,fruits and vegetables,1
sulphite,canned vegetables,fruits and vegetables,1
sulphite,capia pepper pickle in brine,fruits and vegetables,1
sulphite,chillies in vinegar,fruits and vegetables,1
sulphite,chilled shrimps (penaeus notialis),crustaceans and products thereof,1
sulphite,chilled shrimps (penaeus kerathurus),crustaceans and products thereof,1
sulphite,chilled shrimps (parapenaeus longirostris),crustaceans and products thereof,1
sulphite,chilled scampi (nephrophs norvegicus),crustaceans and products thereof,1
sulphite,chilled scampi,crustaceans and products thereof,1
sulphite,chilled sausage rolls,prepared dishes and snacks,1
sulphite,chilled rose shrimps (parapenaus longirostris),crustaceans and products thereof,1
sulphite,chilled rose shrimps (parapenaeus longirostris),crustaceans and products thereof,1
sulphite,chilled rose shrimps,crustaceans and products thereof,1
sulphite,chilled precooked prawns (penaeus vannamei),crustaceans and products thereof,1
sulphite,chilled prawns (penaeus vannamei),crustaceans and products thereof,1
sulphite,chilled prawns (parapenaeus longirostris),crustaceans and products thereof,1
sulphite,chilled prawn tails,crustaceans and products thereof,1
sulphite,chilled norway lobster (nephrops norvegicus),crustaceans and products thereof,1
sulphite,chilled norway lobster,crustaceans and products thereof,1
sulphite,chilled cooked shrimps (penaeus vanamei),crustaceans and products thereof,1
